"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000001",0.117939525202386,0.248839993838474,"Gnai3","non-significant"
"ENSMUSG00000000028",0.375552660702102,0.0560566490456423,"Cdc45","non-significant"
"ENSMUSG00000000031",0.454207949695144,0.168838218083675,"H19","non-significant"
"ENSMUSG00000000037",0.782409518818561,0.385451421005273,"Scml2","non-significant"
"ENSMUSG00000000049",0.546790376103361,0.0925841038467758,"Apoh","non-significant"
"ENSMUSG00000000056",-0.370754052119207,4.64056340532687e-10,"Narf","significant"
"ENSMUSG00000000058",-0.172985786488908,0.307874406850461,"Cav2","non-significant"
"ENSMUSG00000000078",0.208350835910769,0.485805258142399,"Klf6","non-significant"
"ENSMUSG00000000085",-0.372982580536447,1.58916918503294e-07,"Scmh1","significant"
"ENSMUSG00000000088",-0.0944779584669668,0.525452817899681,"Cox5a","non-significant"
"ENSMUSG00000000093",0.0889233354269462,0.77967679987034,"Tbx2","non-significant"
"ENSMUSG00000000094",0.890635437196586,3.29041640679871e-05,"Tbx4","significant"
"ENSMUSG00000000120",-0.390973649555796,0.386868445472661,"Ngfr","non-significant"
"ENSMUSG00000000126",-0.506875731373188,0.000159940980658233,"Wnt9a","significant"
"ENSMUSG00000000127",0.196514637635894,0.126262606606081,"Fer","non-significant"
"ENSMUSG00000000131",-0.216881631334836,0.00921506200482029,"Xpo6","significant"
"ENSMUSG00000000134",0.0820510800359428,0.482170168858737,"Tfe3","non-significant"
"ENSMUSG00000000142",-0.670229686164584,0.00125399614549886,"Axin2","significant"
"ENSMUSG00000000148",0.106005305832641,0.524769911369632,"Brat1","non-significant"
"ENSMUSG00000000149",0.173996537326002,0.0504599751042466,"Gna12","non-significant"
"ENSMUSG00000000154",1.30158877462411,0.160696671754189,"Slc22a18","non-significant"
"ENSMUSG00000000167",0.666138984456087,0.263899288016208,"Pih1d2","non-significant"
"ENSMUSG00000000168",-0.168463832397302,0.0916346860601357,"Dlat","non-significant"
"ENSMUSG00000000171",-0.073719043692192,0.563139088429054,"Sdhd","non-significant"
"ENSMUSG00000000182",-0.634385747698135,0.797539735759329,"Fgf23","non-significant"
"ENSMUSG00000000183",-0.27920239030445,0.328512460403327,"Fgf6","non-significant"
"ENSMUSG00000000184",0.535732049719914,0.0538914835239202,"Ccnd2","non-significant"
"ENSMUSG00000000194",-0.228918857950797,3.79876468520628e-06,"Gpr107","significant"
"ENSMUSG00000000197",0.114368624836922,0.900208539425887,"Nalcn","non-significant"
"ENSMUSG00000000202",0.843356986269918,0.569072724904295,"Btbd17","non-significant"
"ENSMUSG00000000204",0.794452344324778,0.206902862177506,"Slfn4","non-significant"
"ENSMUSG00000000214",-0.442153871510888,0.778318812007129,"Th","non-significant"
"ENSMUSG00000000223",0.462599086904885,0.0500763969658923,"Drp2","non-significant"
"ENSMUSG00000000244",1.61317304418154,0.000271642608574001,"Tspan32","significant"
"ENSMUSG00000000247",0.778204277359911,0.452907790992081,"Lhx2","non-significant"
"ENSMUSG00000000253",-0.243446215040123,0.00498709415872906,"Gmpr","significant"
"ENSMUSG00000000266",0.228608217418251,0.0465927126307861,"Mid2","significant"
"ENSMUSG00000000275",0.0439664222607437,0.79125990513916,"Trim25","non-significant"
"ENSMUSG00000000276",-0.404029876126911,0.000727656912278482,"Dgke","significant"
"ENSMUSG00000000278",0.481128461115996,1.04962787033765e-05,"Scpep1","significant"
"ENSMUSG00000000282",-0.135474970990894,0.587263105715301,"Mnt","non-significant"
"ENSMUSG00000000290",2.50769859117876,2.15307716774943e-27,"Itgb2","significant"
"ENSMUSG00000000295",-0.197801348583203,0.144697042495305,"Hddc2","non-significant"
"ENSMUSG00000000296",0.131072596033154,0.324605812215154,"Tpd52l1","non-significant"
"ENSMUSG00000000301",0.755049192644316,0.0114854136647439,"Pemt","significant"
"ENSMUSG00000000303",-0.0357007533921816,0.970654109419905,"Cdh1","non-significant"
"ENSMUSG00000000305",-0.61489071592509,0.11829220223732,"Cdh4","non-significant"
"ENSMUSG00000000308",0.513535455508114,0.829355403679555,"Ckmt1","non-significant"
"ENSMUSG00000000317",0.524526188344009,0.416193503238821,"Bcl6b","non-significant"
"ENSMUSG00000000318",1.14378616016314,0.00207827629693902,"Clec10a","significant"
"ENSMUSG00000000320",0.0218470960564556,0.96998946033902,"Alox12","non-significant"
"ENSMUSG00000000326",-0.212571266735662,0.00331069409008221,"Comt","significant"
"ENSMUSG00000000339",0.00725237917494565,0.963694969818121,"Rtca","non-significant"
"ENSMUSG00000000340",-0.151645808208514,0.277796725343754,"Dbt","non-significant"
"ENSMUSG00000000346",0.038533134716564,0.637571012431309,"Dazap2","non-significant"
"ENSMUSG00000000355",0.0812844418788325,0.527158281637672,"Mcts1","non-significant"
"ENSMUSG00000000359",0.563983569738033,0.0411271488187808,"Rem1","significant"
"ENSMUSG00000000365",-0.341666597136244,0.822446871417829,"Rnf17","non-significant"
"ENSMUSG00000000374",-0.251202384716222,0.000678223098814814,"Trappc10","significant"
"ENSMUSG00000000378",0.0145120368587109,0.891143215448188,"Ccm2","non-significant"
"ENSMUSG00000000384",-0.0546561791516957,0.667220917302652,"Tbrg4","non-significant"
"ENSMUSG00000000386",2.95843596123719,2.01638200437728e-08,"Mx1","significant"
"ENSMUSG00000000392",0.539759145126202,0.0108307156810056,"Fap","significant"
"ENSMUSG00000000399",-0.227188030033875,0.00843447564931102,"Ndufa9","significant"
"ENSMUSG00000000402",-0.607398752503766,0.414933532839722,"Egfl6","non-significant"
"ENSMUSG00000000409",1.51098581014215,0.144792238540868,"Lck","non-significant"
"ENSMUSG00000000416",-0.861254408217224,0.065162809272332,"Cttnbp2","non-significant"
"ENSMUSG00000000420",-0.235393126454183,7.28432948031829e-06,"Galnt1","significant"
"ENSMUSG00000000435",1.03642027763424,0.000138407208822515,"Myf5","significant"
"ENSMUSG00000000439",-0.480653260493688,7.51249583256375e-21,"Mkrn2","significant"
"ENSMUSG00000000440",0.0640038780928572,0.854709832845015,"Pparg","non-significant"
"ENSMUSG00000000441",-0.236460952850191,3.01935345557935e-06,"Raf1","significant"
"ENSMUSG00000000486",0.546298186060972,0.112193736637593,"Septin1","non-significant"
"ENSMUSG00000000489",0.386025115976281,0.0144671462020689,"Pdgfb","significant"
"ENSMUSG00000000530",-0.110188115216591,0.667175093376899,"Acvrl1","non-significant"
"ENSMUSG00000000531",0.125249352214177,0.651691128705311,"Tamalin","non-significant"
"ENSMUSG00000000532",-0.751080806104144,0.00016785743590823,"Acvr1b","significant"
"ENSMUSG00000000538",0.0455212392397349,0.585654042512188,"Tom1l2","non-significant"
"ENSMUSG00000000552",0.697784667297892,5.50882742131446e-07,"Zfp385a","significant"
"ENSMUSG00000000555",0.651877409513751,0.000781540256143699,"Itga5","significant"
"ENSMUSG00000000560",0.593485853369374,0.741950567436723,"Gabra2","non-significant"
"ENSMUSG00000000561",-0.0299544942723011,0.833061889420131,"Wdr77","non-significant"
"ENSMUSG00000000562",0.922385677694162,0.559318466713774,"Adora3","non-significant"
"ENSMUSG00000000563",-0.132578414932912,0.109982714493807,"Atp5pb","non-significant"
"ENSMUSG00000000567",1.76286410811099,5.06620908455735e-12,"Sox9","significant"
"ENSMUSG00000000568",-0.420483234800686,2.73696427530354e-11,"Hnrnpd","significant"
"ENSMUSG00000000579",0.253604209929511,0.642319996446651,"Dynlt1c","non-significant"
"ENSMUSG00000000581",0.0127611513597722,0.912470653122946,"C1d","non-significant"
"ENSMUSG00000000594",0.412431602640657,0.00026530318570502,"Gm2a","significant"
"ENSMUSG00000000600",-0.0520066661414331,0.562857978159246,"Krit1","non-significant"
"ENSMUSG00000000605",-0.361361202334578,3.32371926848738e-08,"Clcn4","significant"
"ENSMUSG00000000627",0.968965836784073,0.288666657520891,"Sema4f","non-significant"
"ENSMUSG00000000628",-0.475332603627729,0.0566468201604691,"Hk2","non-significant"
"ENSMUSG00000000631",-0.17595793068614,0.365183042352276,"Myo18a","non-significant"
"ENSMUSG00000000632",-0.271203593300446,0.743239217394591,"Sez6","non-significant"
"ENSMUSG00000000673",0.449783019929521,0.663593485014472,"Haao","non-significant"
"ENSMUSG00000000682",2.27893943908991,1.72347455540712e-12,"Cd52","significant"
"ENSMUSG00000000686",-0.295792195871191,0.588496811835781,"Abhd15","non-significant"
"ENSMUSG00000000690",0.00274707263012939,0.995777950240781,"Hoxb6","non-significant"
"ENSMUSG00000000693",0.3818940308907,0.00377788069577655,"Loxl3","significant"
"ENSMUSG00000000708",-0.258979686822313,2.96059034653461e-05,"Kat2b","significant"
"ENSMUSG00000000711",-0.237393764302281,1.43262876242171e-07,"Rab5b","significant"
"ENSMUSG00000000730",0.644571154418922,0.737309512707567,"Dnmt3l","non-significant"
"ENSMUSG00000000732",0.873670371556765,5.89358391815683e-06,"Icosl","significant"
"ENSMUSG00000000738",-0.460727016045999,9.40403828384863e-13,"Spg7","significant"
"ENSMUSG00000000739",0.120216095358228,0.804806158671923,"Sult5a1","non-significant"
"ENSMUSG00000000740",0.0466680745296322,0.773767809762188,"Rpl13","non-significant"
"ENSMUSG00000000743",0.00707041565525409,0.95202954959812,"Chmp1a","non-significant"
"ENSMUSG00000000751",-0.0838861770818791,0.257933329997125,"Rpa1","non-significant"
"ENSMUSG00000000753",0.513567166282303,0.00365288353603949,"Serpinf1","significant"
"ENSMUSG00000000759",-0.310948548494381,0.000122233334210031,"Tubgcp3","significant"
"ENSMUSG00000000776",0.130331403669329,0.244673485219528,"Polr3d","non-significant"
"ENSMUSG00000000782",0.107457165876319,0.85923120146909,"Tcf7","non-significant"
"ENSMUSG00000000787",-0.405436103585509,0.000270645366872451,"Ddx3x","significant"
"ENSMUSG00000000791",4.44769142080535,0.00174450854173065,"Il12rb1","significant"
"ENSMUSG00000000792",1.53134043415249,0.045047085754484,"Slc5a5","significant"
"ENSMUSG00000000794",1.2137431645829,0.000453536685801367,"Kcnn3","significant"
"ENSMUSG00000000804",-0.125052548122444,0.144251267063539,"Usp32","non-significant"
"ENSMUSG00000000805",-0.540368110330199,0.0324517067034746,"Car4","significant"
"ENSMUSG00000000811",0.487228071732729,0.000801551029279008,"Txnrd3","significant"
"ENSMUSG00000000817",1.49086371097198,0.535522168357322,"Fasl","non-significant"
"ENSMUSG00000000823",-0.351228506056885,1.24834764666303e-06,"Zfp512b","significant"
"ENSMUSG00000000826",-0.00391594065558161,0.97534216412969,"Dnajc5","non-significant"
"ENSMUSG00000000827",0.101719164733554,0.145835173356153,"Tpd52l2","non-significant"
"ENSMUSG00000000838",-0.142256540962814,0.1883202306194,"Fmr1","non-significant"
"ENSMUSG00000000861",0.369793099619859,0.739956565241841,"Bcl11a","non-significant"
"ENSMUSG00000000876",0.0971933321025448,0.467061048449681,"Pxmp4","non-significant"
"ENSMUSG00000000881",-0.257488926968786,0.213682626910601,"Dlg3","non-significant"
"ENSMUSG00000000884",-0.466086046862135,0.0323812149770232,"Gnb1l","significant"
"ENSMUSG00000000889",3.67747954615769,0.0533770804852842,"Dbh","non-significant"
