"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000001",0.124753903366122,1,"Gnai3","non-significant"
"ENSMUSG00000000003",0,1,"Pbsn","non-significant"
"ENSMUSG00000000028",0.00607626313908864,1,"Cdc45","non-significant"
"ENSMUSG00000000031",-0.00245902286248029,1,"H19","non-significant"
"ENSMUSG00000000037",0.480478588975668,1,"Scml2","non-significant"
"ENSMUSG00000000049",-0.484027697719183,1,"Apoh","non-significant"
"ENSMUSG00000000056",-0.0416116530818015,1,"Narf","non-significant"
"ENSMUSG00000000058",-0.0233070248424144,1,"Cav2","non-significant"
"ENSMUSG00000000078",0.535593914406071,1,"Klf6","non-significant"
"ENSMUSG00000000085",0.0221999807041257,1,"Scmh1","non-significant"
"ENSMUSG00000000088",0.166423883895605,1,"Cox5a","non-significant"
"ENSMUSG00000000093",0.0384844293688654,1,"Tbx2","non-significant"
"ENSMUSG00000000094",0.162562998346637,1,"Tbx4","non-significant"
"ENSMUSG00000000103",-1.42622060069524,1,"Zfy2","non-significant"
"ENSMUSG00000000120",0.608743089256867,1,"Ngfr","non-significant"
"ENSMUSG00000000125",-0.459938780158166,1,"Wnt3","non-significant"
"ENSMUSG00000000126",-0.0486898265979009,1,"Wnt9a","non-significant"
"ENSMUSG00000000127",-0.032982161749658,1,"Fer","non-significant"
"ENSMUSG00000000131",-0.0850909174779549,1,"Xpo6","non-significant"
"ENSMUSG00000000134",-0.0718252639962191,1,"Tfe3","non-significant"
"ENSMUSG00000000142",-0.0924572282176753,1,"Axin2","non-significant"
"ENSMUSG00000000148",0.0229534556806875,1,"Brat1","non-significant"
"ENSMUSG00000000149",-0.0576640704163708,1,"Gna12","non-significant"
"ENSMUSG00000000154",0.226656000794094,1,"Slc22a18","non-significant"
"ENSMUSG00000000157",1.41019628600435,1,"Itgb2l","non-significant"
"ENSMUSG00000000159",-1.68104486823941,1,"Igsf5","non-significant"
"ENSMUSG00000000167",-0.0139846969556302,1,"Pih1d2","non-significant"
"ENSMUSG00000000168",0.00566290192103399,1,"Dlat","non-significant"
"ENSMUSG00000000171",0.0932204892216163,1,"Sdhd","non-significant"
"ENSMUSG00000000182",-0.716430503609863,1,"Fgf23","non-significant"
"ENSMUSG00000000183",0.227575723069279,1,"Fgf6","non-significant"
"ENSMUSG00000000184",0.114742056988975,1,"Ccnd2","non-significant"
"ENSMUSG00000000194",-0.0379647395394997,1,"Gpr107","non-significant"
"ENSMUSG00000000197",0.827399838393928,1,"Nalcn","non-significant"
"ENSMUSG00000000202",-0.15497017708008,1,"Btbd17","non-significant"
"ENSMUSG00000000204",-0.0533549383434812,1,"Slfn4","non-significant"
"ENSMUSG00000000214",-1.41681565653696,1,"Th","non-significant"
"ENSMUSG00000000215",0,1,"Ins2","non-significant"
"ENSMUSG00000000216",-0.749759986306574,1,"Scnn1g","non-significant"
"ENSMUSG00000000223",-0.139562621036433,1,"Drp2","non-significant"
"ENSMUSG00000000244",-0.19544335705179,1,"Tspan32","non-significant"
"ENSMUSG00000000247",0.828651773449972,1,"Lhx2","non-significant"
"ENSMUSG00000000248",2.70771271713095,1,"Clec2g","non-significant"
"ENSMUSG00000000253",0.13687623470337,1,"Gmpr","non-significant"
"ENSMUSG00000000266",-0.0240889427714433,1,"Mid2","non-significant"
"ENSMUSG00000000275",0.00530501399066404,1,"Trim25","non-significant"
"ENSMUSG00000000276",-0.0372976903024918,1,"Dgke","non-significant"
"ENSMUSG00000000278",0.0647646567020568,1,"Scpep1","non-significant"
"ENSMUSG00000000282",0.00230561763387469,1,"Mnt","non-significant"
"ENSMUSG00000000290",-0.0735275405479099,1,"Itgb2","non-significant"
"ENSMUSG00000000295",0.24758325732789,1,"Hddc2","non-significant"
"ENSMUSG00000000296",-0.0110022336914545,1,"Tpd52l1","non-significant"
"ENSMUSG00000000301",-0.10693342162851,1,"Pemt","non-significant"
"ENSMUSG00000000303",0.057836948481052,1,"Cdh1","non-significant"
"ENSMUSG00000000305",0.345943343198106,1,"Cdh4","non-significant"
"ENSMUSG00000000308",-0.126203791295511,1,"Ckmt1","non-significant"
"ENSMUSG00000000317",0.740871608354506,1,"Bcl6b","non-significant"
"ENSMUSG00000000318",0.140593173027131,1,"Clec10a","non-significant"
"ENSMUSG00000000320",0.297042552652972,1,"Alox12","non-significant"
"ENSMUSG00000000326",0.0217592117183459,1,"Comt","non-significant"
"ENSMUSG00000000339",-0.0600564042060554,1,"Rtca","non-significant"
"ENSMUSG00000000340",-0.146228838852333,1,"Dbt","non-significant"
"ENSMUSG00000000346",0.0273930771004537,1,"Dazap2","non-significant"
"ENSMUSG00000000355",0.164102052187472,1,"Mcts1","non-significant"
"ENSMUSG00000000359",0.267886876326897,1,"Rem1","non-significant"
"ENSMUSG00000000365",0.826678046064179,1,"Rnf17","non-significant"
"ENSMUSG00000000374",-0.0843215191033758,1,"Trappc10","non-significant"
"ENSMUSG00000000378",-0.0294646947858329,1,"Ccm2","non-significant"
"ENSMUSG00000000381",-0.749786543250562,1,"Wap","non-significant"
"ENSMUSG00000000384",-0.0647745116244699,1,"Tbrg4","non-significant"
"ENSMUSG00000000385",2.43876324427994,1,"Tmprss2","non-significant"
"ENSMUSG00000000386",-0.0443461402349409,1,"Mx1","non-significant"
"ENSMUSG00000000392",0.0348141606472041,1,"Fap","non-significant"
"ENSMUSG00000000394",0,1,"Gcg","non-significant"
"ENSMUSG00000000399",0.100564004471873,1,"Ndufa9","non-significant"
"ENSMUSG00000000402",1.17791282680467,1,"Egfl6","non-significant"
