"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000001",0.0692477159380321,0.877298327685565,"Gnai3","non-significant"
"ENSMUSG00000000028",0.0669159690645167,0.962588041582949,"Cdc45","non-significant"
"ENSMUSG00000000031",-0.19986097517359,0.904574045491432,"H19","non-significant"
"ENSMUSG00000000049",0.0228147841915247,0.990647121327956,"Apoh","non-significant"
"ENSMUSG00000000056",0.00814325960920361,0.987932682403188,"Narf","non-significant"
"ENSMUSG00000000058",0.154186135323681,0.817196716351771,"Cav2","non-significant"
"ENSMUSG00000000078",0.247653025933581,0.820741938516315,"Klf6","non-significant"
"ENSMUSG00000000085",0.0786919773701531,0.837297020119201,"Scmh1","non-significant"
"ENSMUSG00000000088",-0.0543602512689171,0.947474915373231,"Cox5a","non-significant"
"ENSMUSG00000000093",-0.0581628675824024,0.974053068570346,"Tbx2","non-significant"
"ENSMUSG00000000094",-0.162663975389123,0.890689429155919,"Tbx4","non-significant"
"ENSMUSG00000000120",-0.17758025266381,0.947474915373231,"Ngfr","non-significant"
"ENSMUSG00000000126",0.0608526273971242,0.957760129479797,"Wnt9a","non-significant"
"ENSMUSG00000000127",-0.0376202410345344,0.96620060548442,"Fer","non-significant"
"ENSMUSG00000000131",-0.0570974354135515,0.903519193719479,"Xpo6","non-significant"
"ENSMUSG00000000134",-0.193609062906261,0.413848482254896,"Tfe3","non-significant"
"ENSMUSG00000000142",-0.0975194841495104,0.95402204179798,"Axin2","non-significant"
"ENSMUSG00000000148",-0.14672427870096,0.794565392771736,"Brat1","non-significant"
"ENSMUSG00000000149",-0.0869692521297768,0.828764788202275,"Gna12","non-significant"
"ENSMUSG00000000168",0.032386126511092,0.964389961119476,"Dlat","non-significant"
"ENSMUSG00000000171",-0.0247346896744349,0.974602411533773,"Sdhd","non-significant"
"ENSMUSG00000000183",0.296944683095198,0.760250721713371,"Fgf6","non-significant"
"ENSMUSG00000000184",0.0958406649997268,0.964320081902298,"Ccnd2","non-significant"
"ENSMUSG00000000194",-0.0601413112198284,0.807304239697,"Gpr107","non-significant"
"ENSMUSG00000000204",1.12244198449448,0.390395239046816,"Slfn4","non-significant"
"ENSMUSG00000000223",0.0138604690980249,0.991676559507089,"Drp2","non-significant"
"ENSMUSG00000000244",-0.0104124886467408,0.996294718762467,"Tspan32","non-significant"
