Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000000028,0.508836771,0.006076201,0.514912972,0.005492056,1,-1.194135628,Worsened,Cdc45
ENSMUSG00000000031,0.877159256,-0.002459023,0.874700233,0.002233959,1,0.280339385,Not rescued,H19
ENSMUSG00000000049,0.80135716,-0.484003823,0.317353338,0.003866651,1,60.3980156,Partially rescued,Apoh
ENSMUSG00000000094,0.732150225,0.162567813,0.894718038,0.000721716,1,-22.20416082,Worsened,Tbx4
ENSMUSG00000000120,-0.989934555,0.608735924,-0.381198631,0.008214392,1,61.49254223,Partially rescued,Ngfr
ENSMUSG00000000142,-0.613579353,-0.092441779,-0.706021131,0.003212582,1,-15.0659859,Worsened,Axin2
ENSMUSG00000000202,2.817761228,-0.154876666,2.662884562,0.038113396,1,5.496443932,Not rescued,Btbd17
ENSMUSG00000000223,0.861292913,-0.139567066,0.721725847,4.42873518796047e-05,1,16.20436719,Not rescued,Drp2
ENSMUSG00000000244,0.856854506,-0.195418105,0.661436401,0.029670252,1,22.8064512,Not rescued,Tspan32
ENSMUSG00000000290,0.94303702,-0.073473676,0.869563344,3.27216412067751e-05,1,7.791176246,Not rescued,Itgb2
ENSMUSG00000000308,4.361191974,-0.125992387,4.235199588,0.004722821,1,2.888943836,Not rescued,Ckmt1
ENSMUSG00000000359,0.554236957,0.267914712,0.822151669,0.042499465,1,-48.33938062,Worsened,Rem1
ENSMUSG00000000386,2.862624332,-0.044208617,2.818415716,2.24949847335807e-09,1,1.544338751,Not rescued,Mx1
ENSMUSG00000000392,0.508360504,0.034824114,0.543184618,0.016177622,1,-6.850279183,Worsened,Fap
ENSMUSG00000000402,-1.732328899,1.177909807,-0.554419092,0.026075367,1,67.99573726,Partially rescued,Egfl6
ENSMUSG00000000439,-0.578267563,-0.018345111,-0.596612675,2.76407860994831e-28,1,-3.172426147,Worsened,Mkrn2
ENSMUSG00000000489,0.612294375,0.059997027,0.672291402,2.87142158291613e-05,1,-9.798722512,Worsened,Pdgfb
ENSMUSG00000000532,-0.588695224,0.014281792,-0.574413432,0.004167636,1,2.42600775,Not rescued,Acvr1b
ENSMUSG00000000555,1.085991773,-0.039457843,1.046533929,3.04273692632126e-09,1,3.633346432,Not rescued,Itga5
ENSMUSG00000000567,1.802351033,-0.21904186,1.583309173,1.30071689740196e-12,1,12.15311867,Not rescued,Sox9
ENSMUSG00000000682,0.804303554,0.069381001,0.873684555,0.010105877,1,-8.626220852,Worsened,Cd52
ENSMUSG00000000732,1.174539041,-0.763344449,0.411194592,2.24248715235242e-10,0.076729483,64.99098135,Partially rescued,Icosl
ENSMUSG00000000794,1.750726468,-0.184109313,1.566617155,1.16891563992797e-07,1,10.51616666,Not rescued,Kcnn3
ENSMUSG00000000942,-0.847901846,0.368614365,-0.479287481,5.81921938845151e-06,1,43.4737071,Partially rescued,Hoxa4
ENSMUSG00000000957,0.58544791,0.062326775,0.647774686,0.03285674,1,-10.64599843,Worsened,Mmp14
ENSMUSG00000001025,1.024457749,0.200633091,1.22509084,2.24774067274985e-07,1,-19.58432067,Worsened,S100a6
ENSMUSG00000001027,-0.725660191,-0.045516732,-0.771176924,4.23485628778177e-15,1,-6.272458239,Worsened,Scn4a
ENSMUSG00000001128,0.533529517,0.065160187,0.598689705,0.001693636,1,-12.21304265,Worsened,Cfp
ENSMUSG00000001131,3.901024269,-0.271537503,3.629486765,1.44232662796296e-21,1,6.960671985,Not rescued,Timp1
ENSMUSG00000001175,-0.577812126,-0.007797402,-0.585609528,4.26541246852073e-11,1,-1.349470111,Worsened,Calm1
ENSMUSG00000001228,1.842249228,-0.208720712,1.633528517,0.000264213,1,11.32966747,Not rescued,Uhrf1
ENSMUSG00000001313,0.821500794,-0.023360748,0.798140046,6.41369805152859e-05,1,2.843667141,Not rescued,Rnd2
ENSMUSG00000001348,1.659448558,-0.709945057,0.949503501,0.045081523,1,42.78198643,Partially rescued,Acp5
ENSMUSG00000001424,0.906734857,-0.219171154,0.687563703,7.51239008836371e-22,1,24.17147107,Not rescued,Snd1
ENSMUSG00000001467,0.508842755,-0.175427598,0.333415158,0.001448389,1,34.47579742,Partially rescued,Cyp51
ENSMUSG00000001473,2.402023054,-0.417552024,1.98447103,2.26529788309076e-11,1,17.38334789,Not rescued,Tubb6
