"","log2FoldChange","padj","GeneSymbol","significance"
"ENSMUSG00000000001",0.160663450287294,0.0939633394119614,"Gnai3","non-significant"
"ENSMUSG00000000028",0.508838487839443,0.00545729795713476,"Cdc45","significant"
"ENSMUSG00000000031",0.877159255680549,0.00221709031620026,"H19","significant"
"ENSMUSG00000000037",1.0010673082924,0.242389261967606,"Scml2","non-significant"
"ENSMUSG00000000049",0.801388391704702,0.00402410712459434,"Apoh","significant"
"ENSMUSG00000000056",-0.341155865778104,1.23838603263031e-08,"Narf","significant"
"ENSMUSG00000000058",-0.169518581830871,0.311456659437866,"Cav2","non-significant"
"ENSMUSG00000000078",0.12655284339946,0.688549966136596,"Klf6","non-significant"
"ENSMUSG00000000085",-0.399740105875655,1.64633534040069e-08,"Scmh1","significant"
"ENSMUSG00000000088",-0.22857948946001,0.0536045774538676,"Cox5a","non-significant"
"ENSMUSG00000000093",0.249208570574389,0.338656254934768,"Tbx2","non-significant"
"ENSMUSG00000000094",0.732138159973421,0.000818731993411649,"Tbx4","significant"
"ENSMUSG00000000120",-0.989972422476585,0.00923364227513293,"Ngfr","significant"
"ENSMUSG00000000126",-0.360084321515252,0.0109400439462787,"Wnt9a","significant"
"ENSMUSG00000000127",0.106179920778291,0.469776010038329,"Fer","non-significant"
"ENSMUSG00000000131",-0.160556526662992,0.0689040967533472,"Xpo6","non-significant"
"ENSMUSG00000000134",0.193683067673268,0.0431822892014958,"Tfe3","significant"
"ENSMUSG00000000142",-0.61356801060142,0.00355614554800315,"Axin2","significant"
"ENSMUSG00000000148",0.134544883580184,0.379938442192955,"Brat1","non-significant"
"ENSMUSG00000000149",0.14274402544286,0.121268739990171,"Gna12","non-significant"
"ENSMUSG00000000154",0.459742132081042,0.634855057007861,"Slc22a18","non-significant"
"ENSMUSG00000000167",0.747345254791586,0.231494277316243,"Pih1d2","non-significant"
"ENSMUSG00000000168",-0.249815597878878,0.00649102146681264,"Dlat","significant"
"ENSMUSG00000000171",-0.0586210352841455,0.644416580612645,"Sdhd","non-significant"
"ENSMUSG00000000182",-0.68088064229173,0.686305502832797,"Fgf23","non-significant"
"ENSMUSG00000000183",-0.260130529837263,0.356305583552382,"Fgf6","non-significant"
"ENSMUSG00000000184",0.350949270321856,0.244552271856008,"Ccnd2","non-significant"
