Gene,log2FC_disease,log2FC_treated,log2FC_treated_vs_WT,padj_disease,padj_treated,rescue_metric,rescue_status_fixed,GeneSymbol
ENSMUSG00000000094,0.890563728,-0.162646035,0.727917694,2.66520556890356e-05,0.885664516,18.26326735,Not rescued,Tbx4
ENSMUSG00000000126,-0.50687597,0.06085261,-0.446023361,0.000159053,0.955621736,12.00542406,Not rescued,Wnt9a
ENSMUSG00000000142,-0.670228025,-0.097529341,-0.767757366,0.001090824,0.950488209,-14.55166561,Worsened,Axin2
ENSMUSG00000000184,0.535709276,0.09584088,0.631550156,0.04889442,0.96241507,-17.89046491,Worsened,Ccnd2
ENSMUSG00000000290,2.50751019,-0.331462601,2.176047588,5.90169475181089e-28,0.687906662,13.21879379,Not rescued,Itgb2
ENSMUSG00000000301,0.755087431,-0.12072294,0.634364491,0.010719555,0.955621736,15.98794195,Not rescued,Pemt
ENSMUSG00000000318,1.143693778,-0.040227801,1.103465978,0.001634013,0.988228502,3.517357668,Not rescued,Clec10a
ENSMUSG00000000359,0.563877669,0.050279385,0.614157054,0.03773612,0.977672732,-8.916718554,Worsened,Rem1
ENSMUSG00000000386,2.958183318,0.92952308,3.887706398,1.56435664425277e-08,0.324686453,-31.42209186,Worsened,Mx1
ENSMUSG00000000392,0.53973256,-0.133916563,0.405815997,0.009792623,0.907657526,24.81165176,Not rescued,Fap
ENSMUSG00000000435,1.036446065,0.544690908,1.581136973,0.000117158,0.408221843,-52.55371472,Worsened,Myf5
ENSMUSG00000000532,-0.751079822,-0.177207592,-0.928287414,0.000146174,0.86985567,-23.59370958,Worsened,Acvr1b
ENSMUSG00000000552,0.697784376,-0.047392411,0.650391965,5.42839536029153e-07,0.965568399,6.791841786,Not rescued,Zfp385a
ENSMUSG00000000555,0.65188128,-0.286470862,0.365410418,0.000684769,0.682456641,43.94525052,Partially rescued,Itga5
ENSMUSG00000000567,1.762834731,-0.671308211,1.09152652,2.55263359812436e-12,0.292551826,38.08117684,Partially rescued,Sox9
ENSMUSG00000000682,2.2787587,0.157268439,2.436027139,9.10321549223441e-13,0.933168737,-6.901495926,Worsened,Cd52
ENSMUSG00000000732,0.873680815,-0.449354917,0.424325898,5.17562859209706e-06,0.375074025,51.43238916,Partially rescued,Icosl
ENSMUSG00000000753,0.513562603,-0.227779333,0.28578327,0.003389833,0.747558842,44.35278802,Partially rescued,Serpinf1
ENSMUSG00000000794,1.213743165,0.094452585,1.308195749,0.000444156,0.973941045,-7.781925152,Worsened,Kcnn3
ENSMUSG00000000805,-0.540350688,0.356203722,-0.184146966,0.029297657,0.668356271,65.92084176,Partially rescued,Car4
ENSMUSG00000000948,-0.715466194,0.398328315,-0.317137879,0.008641032,0.680255171,55.67395332,Partially rescued,NA
ENSMUSG00000000957,0.656336458,0.271469357,0.927805815,0.015208167,0.823976605,-41.36130996,Worsened,Mmp14
ENSMUSG00000000958,0.635636608,0.045445196,0.681081804,0.024205463,0.980319966,-7.149556049,Worsened,Slc7a7
ENSMUSG00000001025,1.163338865,-0.335863142,0.827475724,2.86109188361642e-09,0.634017747,28.87061989,Not rescued,S100a6
ENSMUSG00000001027,-0.705901243,0.110996149,-0.594905094,2.69469227289269e-14,0.810215791,15.72403362,Not rescued,Scn4a
ENSMUSG00000001082,0.650530063,-0.074728718,0.575801344,0.001018449,0.961851241,11.48735815,Not rescued,Mfsd10
ENSMUSG00000001119,0.86550517,-0.141445755,0.724059415,3.62458174327925e-06,0.895854358,16.34256611,Not rescued,Col6a1
ENSMUSG00000001123,0.702089995,0.200319628,0.902409623,5.45684876575485e-08,0.66006449,-28.53190184,Worsened,Lgals9
ENSMUSG00000001128,1.090620493,-0.032000784,1.058619709,4.81812856887389e-12,0.978038625,2.934181471,Not rescued,Cfp
ENSMUSG00000001131,2.556743512,-0.619465379,1.937278133,9.79664127880736e-12,0.632391486,24.22868686,Not rescued,Timp1
