"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044248","GO:0044248","cellular catabolic process","21/376","323/28832",0.065015479876161,4.98544232922732,8.27987247117871,2.09384231787583e-09,7.217474469718e-06,6.09859125638151e-06,"16890/192166/15586/235674/171210/15233/15112/69065/17380/56720/107747/14085/18416/14073/102448/237320/384783/216456/268860/56690/12895",21
"GO:0016054","GO:0016054","organic acid catabolic process","17/376","243/28832",0.0699588477366255,5.36450398388933,7.85371971712811,2.49857194523984e-08,2.87085916508057e-05,2.42580651665917e-05,"16890/192166/235674/15233/15112/56720/107747/14085/18416/14073/102448/237320/384783/216456/268860/56690/12895",17
"GO:0046395","GO:0046395","carboxylic acid catabolic process","17/376","243/28832",0.0699588477366255,5.36450398388933,7.85371971712811,2.49857194523984e-08,2.87085916508057e-05,2.42580651665917e-05,"16890/192166/235674/15233/15112/56720/107747/14085/18416/14073/102448/237320/384783/216456/268860/56690/12895",17
"GO:0006953","GO:0006953","acute-phase response","8/376","51/28832",0.156862745098039,12.0283687943262,9.06108654387655,3.03198467111094e-07,0.00022355266142648,0.000188896588694081,"16427/21934/15439/22038/18816/20210/11898/12774",8
"GO:0007596","GO:0007596","blood coagulation","14/376","197/28832",0.0710659898477157,5.44940058321633,7.20315692406243,3.55644438787097e-07,0.00022355266142648,0.000188896588694081,"11818/545486/71753/15567/19123/11905/54368/109246/14068/18816/14723/385643/106722/243816",14
"GO:0050817","GO:0050817","coagulation","14/376","200/28832",0.07,5.36765957446809,7.12483458076201,4.27343175174758e-07,0.00022355266142648,0.000188896588694081,"11818/545486/71753/15567/19123/11905/54368/109246/14068/18816/14723/385643/106722/243816",14
"GO:0007599","GO:0007599","hemostasis","14/376","201/28832",0.0696517412935323,5.34095480046576,7.09907694646135,4.53979875249597e-07,0.00022355266142648,0.000188896588694081,"11818/545486/71753/15567/19123/11905/54368/109246/14068/18816/14723/385643/106722/243816",14
"GO:0046942","GO:0046942","carboxylic acid transport","19/376","378/28832",0.0502645502645503,3.85432849262636,6.4211828713577,6.83309472988695e-07,0.000294420969174004,0.000248778593652595,"13358/20511/70008/12298/114644/68267/76408/12934/20519/68039/21934/229706/20525/18479/26457/64008/384783/268860/12895",19
"GO:0015849","GO:0015849","organic acid transport","19/376","381/28832",0.0498687664041995,3.82397944937734,6.37840514488279,7.69208704168189e-07,0.000294606933696416,0.000248935729173495,"13358/20511/70008/12298/114644/68267/76408/12934/20519/68039/21934/229706/20525/18479/26457/64008/384783/268860/12895",19
"GO:0042060","GO:0042060","wound healing","19/376","403/28832",0.0471464019851117,3.6152262288158,6.07740031462377,1.76733928764816e-06,0.00060920185245232,0.000514760821991837,"11818/11826/545486/71753/15567/27279/19123/11689/11905/54368/109246/18479/14068/230824/18816/14723/385643/106722/243816",19
"GO:0044282","GO:0044282","small molecule catabolic process","18/376","369/28832",0.0487804878048781,3.74052932018682,6.09037661076973,2.0529369710817e-06,0.000643315794483511,0.000543586277414647,"16890/192166/235674/15233/20975/15112/56720/107747/14085/18416/14073/102448/237320/384783/216456/268860/56690/12895",18
"GO:0030193","GO:0030193","regulation of blood coagulation","8/376","69/28832",0.115942028985507,8.89053345667592,7.54311397346146,3.24610283781394e-06,0.000932443040162053,0.000787891802827295,"11818/71753/19123/11905/14068/18816/14723/385643",8
"GO:1900046","GO:1900046","regulation of hemostasis","8/376","71/28832",0.112676056338028,8.64009589451603,7.40905540391755,4.03782218986274e-06,0.00107064408372745,0.000904668340028356,"11818/71753/19123/11905/14068/18816/14723/385643",8
"GO:1901605","GO:1901605","alpha-amino acid metabolic process","13/376","212/28832",0.0613207547169811,4.70212765957447,6.21901143740572,4.79674094497998e-06,0.00112688611238779,0.000952191493129655,"14711/192166/15233/209027/15112/56720/242669/14085/18416/237320/12012/216456/11898",13
"GO:0002526","GO:0002526","acute inflammatory response","10/376","123/28832",0.0813008130081301,6.2342155336447,6.68701002799081,5.12888347436824e-06,0.00112688611238779,0.000952191493129655,"30955/16427/13421/21934/15439/22038/18816/20210/11898/12774",10
"GO:0170041","GO:0170041","non-proteinogenic amino acid metabolic process","8/376","74/28832",0.108108108108108,8.28982173663025,7.21755792340841,5.52895501921531e-06,0.00112688611238779,0.000952191493129655,"14711/192166/56720/242669/18416/237320/268860/11898",8
"GO:0015711","GO:0015711","organic anion transport","20/376","477/28832",0.0419287211740042,3.21513002364066,5.60764402455271,5.55760484786553e-06,0.00112688611238779,0.000952191493129655,"13358/20511/70008/12298/114644/68267/76408/12934/20519/68039/21934/229706/20525/18479/26457/56857/64008/384783/268860/12895",20
"GO:0050818","GO:0050818","regulation of coagulation","8/376","75/28832",0.106666666666667,8.17929078014184,7.15611376470618,6.11945648899771e-06,0.00117187591764306,0.000990206789769396,"11818/71753/19123/11905/14068/18816/14723/385643",8
"GO:0050727","GO:0050727","regulation of inflammatory response","18/376","407/28832",0.0442260442260442,3.39129071043965,5.5849101951086,7.96523956771038e-06,0.00144506214683672,0.00122104254204181,"11433/106763/109934/30955/53603/19123/12978/13421/11689/12362/21934/100340/333654/13024/210808/432940/13051/12774",18
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","16/376","331/28832",0.0483383685800604,3.70662724175612,5.69310568313889,8.48589745374235e-06,0.00146254442615249,0.00123581464497395,"76267/209027/11689/15112/21391/18416/237320/12686/13123/12012/170439/216456/268860/30963/56690/11898",16
"GO:0061041","GO:0061041","regulation of wound healing","10/376","132/28832",0.0757575757575758,5.80915538362347,6.36578074141879,9.61918806546152e-06,0.00154419576643148,0.00130480805146074,"11818/71753/27279/19123/11689/11905/14068/18816/14723/385643",10
"GO:0016053","GO:0016053","organic acid biosynthetic process","16/376","335/28832",0.0477611940298507,3.66236900603366,5.63414384255681,9.85561556759288e-06,0.00154419576643148,0.00130480805146074,"76267/209027/11689/15112/21391/18416/237320/12686/13123/12012/170439/216456/268860/30963/56690/11898",16
"GO:0170039","GO:0170039","proteinogenic amino acid metabolic process","11/376","164/28832",0.0670731707317073,5.14322781525688,6.11644238509825,1.11156414299189e-05,0.00166589634821437,0.00140764209778424,"14711/15233/209027/15112/56720/242669/14085/18416/12012/216456/11898",11
"GO:0030220","GO:0030220","platelet formation","5/376","24/28832",0.208333333333333,15.9751773049645,8.43641410666653,1.27292364507102e-05,0.00182823658523325,0.00154481566925944,"22388/545486/12978/56760/106722",5
"GO:0036344","GO:0036344","platelet morphogenesis","5/376","26/28832",0.192307692307692,14.746317512275,8.06061941471787,1.92820513577928e-05,0.00265860924121247,0.00224646046766369,"22388/545486/12978/56760/106722",5
"GO:0032868","GO:0032868","response to insulin","16/376","356/28832",0.0449438202247191,3.44633038489123,5.3387239561827,2.08184423092696e-05,0.0027600450246174,0.00233217124978741,"23921/20393/12978/19662/21934/13841/20525/19713/18479/18416/26457/22229/19268/209039/14537/384783",16
"GO:1903034","GO:1903034","regulation of response to wounding","11/376","177/28832",0.0621468926553672,4.76547661978603,5.77621342498009,2.27115822714445e-05,0.00289951200332108,0.00245001747154335,"11818/71753/27279/19123/11689/11905/14068/19268/18816/14723/385643",11
"GO:0031652","GO:0031652","positive regulation of heat generation","4/376","14/28832",0.285714285714286,21.9088145896656,8.99494185345886,2.56945894817291e-05,0.00316318749798287,0.00267281688330619,"21934/26457/268860/12774",4
